course_id,lo_name,lo_parent_id,lo_type,question_answer:2913,created_at,lo_provider
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,,2022-09-02 10:24:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,0,2022-09-02 10:24:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,1,2022-09-02 10:24:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,1,2022-07-07 16:19:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-06-09 10:31:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-06-16 17:09:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-06-24 16:51:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-07-13 15:57:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-07-20 14:24:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-08-02 14:50:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-08-03 15:36:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-08-11 12:34:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-08-25 17:03:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-08-29 16:01:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-09-02 09:01:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-09-02 11:32:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-09-05 08:35:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-09-08 14:16:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,10,2022-09-12 07:58:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,2,2022-06-27 11:49:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,2,2022-07-01 12:12:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,3,2022-07-20 17:55:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,3,2022-08-22 11:51:00,Institut Groupe
7718,Savoir Télétravailler,5414ff24-e4f3-4948-be86-f41a6584e656,Cours en ligne,3,2022-09-07 12:36:00,Institut Groupe
